                                    repo,                                   commit, notebooks, language, version
          ericnewnam/principal-component, 8f5de678747315a6450eee0aeed99cc0e4c7d19a,         1,    python,  2.7.13
   Sandeep-AnilKumar/Kaggle-House-Prices, 225c7f214e19d757b9a7f21f0b4c988dfc4fb56b,         1,    python,   2.7.6
                       franchesoni/TIMAG, d8667a6d2603461c8da39b3ff55799d6ad8952bc,         1,    python,   3.6.4
                      mhasoba/VecDensity, 1ba25a6ad5f44ac2336c1e51ba63062475b64112,         1,    python,  2.7.12
                     katbailey/notebooks, 9fe42c3f8870c50b1195a51f4116be2b6aad0d51,         1,    python,  2.7.11
                       ximenesfel/opencv, 585162efe49c58e2cd6425294eba9ed082a7fc5c,         3,    python,   3.6.2
                       farzadz/algorihms, 7fa073cc2bc822a8e778d1d394b90fb7b6faca2f,         1,    python,   3.5.2
                          Tudor67/CS231n, f7d4cd7fb04b48c1045e62b849703c5c100e395e,        12,    python,  2.7.14
              rebeccabernie/Iris-Jupyter, b40f3aded687fb8d6f7f6261391d5bb6e8af149c,         1,    python,   3.6.1
         holyalchemist/JupyterHelloWorld, 0d2d261f5376a40d19e6e2de577ac8b42a8f947c,         1,    python,   3.6.4
          bojana-rankovic/AppRecommender, cefc64472eda79e4c812e7c8602528d957df2187,         1,    python,   2.7.9
    shitian-ni/LINEAR-DISCRIMINANT-TREES, e654acaa01020727d82388a061cc904fb66ae738,         1,    python,   3.5.2
                         tc427/plot_demo, e86f52e9b2f2836ad02a505f6da608300f7526b5,         1,    python,  3.5.2+
               reyadji/wikipedia-traffic, 42a92a05f0405f6ad3785909cceb51f1ee01a1d7,         1,    python,   3.6.1
                  vestuto/pydata-atx-eda, 65e5ff6299d341fdff93904376150c4c1139f64a,         1,    python,   3.6.2
                 lkkouam/Panda-Challenge, fa913123f14ccb211dc230fa4c5e747f46466082,         1,    python,   3.6.4
                   agmm/Electromagnetics, 965e6db18d7d7afd8c7cc1413fab2076b534eabd,         3,    python,   3.5.1
              Isha8/Flood-Fill-Algorithm, d2d3eb6bdc3ef1fbc09474ffdd0ef42a8c4812c5,         1,    python,   3.5.2
        Samimust/spr_recommender_engines, 2c9a9493d47e47de970b35313fd632e066028f47,         2,    python,   3.5.2
       asindico/machinelearning-SmartCab, 00d0cc4504c852da7cb5284511318d311bf272cd,         1,    python,   2.7.8
